Stage3, S3_P2, ST_ACTION, SPOT, 0.0, 0.03207736807243216
Stage3, S4_P2, EXP_VOP_ACTION, DESAL, 442710.74380156776, 0.02806769706337814
Stage3, S4_P2, SHORT_ACTION, SHORT_1, 0.0, 0.02806769706337814
Stage3, S4_P2, SHORT_ACTION, SHORT_10, 0.0, 0.02806769706337814
Stage3, S4_P2, SHORT_ACTION, SHORT_2, 0.0, 0.02806769706337814
Stage3, S4_P2, SHORT_ACTION, SHORT_3, 0.0, 0.02806769706337814
Stage3, S4_P2, SHORT_ACTION, SHORT_4, 0.0, 0.02806769706337814
Stage3, S4_P2, SHORT_ACTION, SHORT_5, 0.0, 0.02806769706337814
Stage3, S4_P2, SHORT_ACTION, SHORT_6, 0.0, 0.02806769706337814
Stage3, S4_P2, SHORT_ACTION, SHORT_7, 0.0, 0.02806769706337814
Stage3, S4_P2, SHORT_ACTION, SHORT_8, 0.0, 0.02806769706337814
Stage3, S4_P2, SHORT_ACTION, SHORT_9, 0.0, 0.02806769706337814
Stage3, S4_P2, ST_ACTION, OPTION, 107289.2561984322, 0.02806769706337814
Stage3, S4_P2, ST_ACTION, RESTRICT, 0.0, 0.02806769706337814
Stage3, S4_P2, ST_ACTION, SPOT, 0.0, 0.02806769706337814
Stage3, S5_P2, EXP_VOP_ACTION, DESAL, 550000.0, 0.06018437563589907
Stage3, S5_P2, SHORT_ACTION, SHORT_1, 0.0, 0.06018437563589907
Stage3, S5_P2, SHORT_ACTION, SHORT_10, 0.0, 0.06018437563589907
Stage3, S5_P2, SHORT_ACTION, SHORT_2, 0.0, 0.06018437563589907
Stage3, S5_P2, SHORT_ACTION, SHORT_3, 0.0, 0.06018437563589907
Stage3, S5_P2, SHORT_ACTION, SHORT_4, 0.0, 0.06018437563589907
Stage3, S5_P2, SHORT_ACTION, SHORT_5, 0.0, 0.06018437563589907
Stage3, S5_P2, SHORT_ACTION, SHORT_6, 0.0, 0.06018437563589907
Stage3, S5_P2, SHORT_ACTION, SHORT_7, 0.0, 0.06018437563589907
Stage3, S5_P2, SHORT_ACTION, SHORT_8, 0.0, 0.06018437563589907
Stage3, S5_P2, SHORT_ACTION, SHORT_9, 0.0, 0.06018437563589907
Stage3, S5_P2, ST_ACTION, OPTION, 200000.0, 0.06018437563589907
Stage3, S5_P2, ST_ACTION, RESTRICT, 0.0, 0.06018437563589907
Stage3, S5_P2, ST_ACTION, SPOT, 0.0, 0.06018437563589907
Stage3, S6_P2, EXP_VOP_ACTION, DESAL, 553388.4297521495, 0.03207736807243216
Stage3, S6_P2, SHORT_ACTION, SHORT_1, 146611.5702478505, 0.03207736807243216
Stage3, S6_P2, SHORT_ACTION, SHORT_10, 0.0, 0.03207736807243216
Stage3, S6_P2, SHORT_ACTION, SHORT_2, 0.0, 0.03207736807243216
Stage3, S6_P2, SHORT_ACTION, SHORT_3, 0.0, 0.03207736807243216
Stage3, S6_P2, SHORT_ACTION, SHORT_4, 0.0, 0.03207736807243216
Stage3, S6_P2, SHORT_ACTION, SHORT_5, 0.0, 0.03207736807243216
Stage3, S6_P2, SHORT_ACTION, SHORT_6, 0.0, 0.03207736807243216
Stage3, S6_P2, SHORT_ACTION, SHORT_7, 0.0, 0.03207736807243216
Stage3, S6_P2, SHORT_ACTION, SHORT_8, 0.0, 0.03207736807243216
Stage3, S6_P2, SHORT_ACTION, SHORT_9, 0.0, 0.03207736807243216
Stage3, S6_P2, ST_ACTION, OPTION, 200000.0, 0.03207736807243216
Stage3, S6_P2, ST_ACTION, RESTRICT, 0.0, 0.03207736807243216
Stage3, S6_P2, ST_ACTION, SPOT, 50000.0, 0.03207736807243216
Stage3, S7_P2, EXP_VOP_ACTION, DESAL, 553388.4297521528, 0.024058026054324118
Stage3, S7_P2, SHORT_ACTION, SHORT_1, 263200.0, 0.024058026054324118
Stage3, S7_P2, SHORT_ACTION, SHORT_10, 0.0, 0.024058026054324118
Stage3, S7_P2, SHORT_ACTION, SHORT_2, 83411.57024784724, 0.024058026054324118
Stage3, S7_P2, SHORT_ACTION, SHORT_3, 0.0, 0.024058026054324118
Stage3, S7_P2, SHORT_ACTION, SHORT_4, 0.0, 0.024058026054324118
Stage3, S7_P2, SHORT_ACTION, SHORT_5, 0.0, 0.024058026054324118
Stage3, S7_P2, SHORT_ACTION, SHORT_6, 0.0, 0.024058026054324118
Stage3, S7_P2, SHORT_ACTION, SHORT_7, 0.0, 0.024058026054324118
Stage3, S7_P2, SHORT_ACTION, SHORT_8, 0.0, 0.024058026054324118
Stage3, S7_P2, SHORT_ACTION, SHORT_9, 0.0, 0.024058026054324118
Stage3, S7_P2, ST_ACTION, OPTION, 200000.0, 0.024058026054324118
Stage3, S7_P2, ST_ACTION, RESTRICT, 0.0, 0.024058026054324118
Stage3, S7_P2, ST_ACTION, SPOT, 50000.0, 0.024058026054324118
Stage3, S8_P2, EXP_VOP_ACTION, DESAL, 553388.4297521504, 0.024058026054324118
